word,emotion
a-one,positive
aaa,negative
aaa,positive
aaah,positive
aaarated,positive
aac,positive
aacs,negative
aadvantage,positive
aadventures,positive
aah,negative
aaj,positive
aaja,positive
aakp,positive
aalfang,negative
aam,positive
aamir,positive
aan,negative
aan,negative
aanbevolen,negative
aanbieden,negative
aanbieding,negative
aanbiedt,negative
aangesloten,negative
aapt,positive
aargau,negative
aaron,positive
aaron,positive
aarp,positive
aarti,positive
aatrack,positive
aau,positive
aav,positive
aba,positive
aba,negative
abacavir,positive
abactinal,negative
abandon,negative
abandoned,negative
abandonment,negative
abandonware,positive
abashed,positive
abate,positive
abattoir,negative
abaxial,positive
abazagorath,negative
abb,negative
abba,negative
abbas,negative
abbe,positive
abbey,negative
abbildung,negative
abbildung,negative
abbot,positive
abbotsford,positive
abbreviate,negative
abbreviated,negative
abby,positive
abc,positive
abcaz,positive
abd,negative
abdeckung,negative
abdel,negative
abdomen,positive
abdomen,negative
abdominal,negative
abdominal,positive
abduce,positive
abducent,positive
abduct,negative
abducted,negative
abducting,positive
abduction,negative
abductor,negative
abdullah,negative
abdus,positive
abe,negative
abend,negative
abenteuer,negative
aber,negative
aberdeen,positive
aberrance,negative
aberrancy,negative
aberrant,positive
aberration,negative
abet,negative
abeta,negative
abetalipoproteinaemia,negative
abetment,positive
abettal,positive
abeyance,negative
abeyant,negative
abgesichert,negative
abgesppritztn,negative
abheben,negative
abhorred,negative
abhorrence,negative
abhorrent,negative
abia,positive
abidance,positive
abide,positive
abides,positive
abiding,positive
abience,positive
abient,positive
abilitiy,positive
ability,positive
abimelech,negative
abimelech,negative
abit,positive
abit,negative
abject,negative
abject,negative
abjection,negative
abjuration,negative
abjure,negative
abkommens,negative
ablactate,positive
ablation,negative
ablaze,negative
able-bodied,positive
able,positive
ablenkung,negative
ablutionary,negative
abm,positive
abn,negative
abnegate,negative
abnegation,negative
abnormal,negative
abnormal,negative
abnormalcy,negative
abnormality,negative
abo,negative
aboard,positive
abode,positive
aboho,positive
abolish,negative
abolishment,negative
abominable,negative
abomination,negative
abonnement,negative
abonnieren,negative
aboricultural,positive
aboriginal,positive
aboriginal,positive
aborigine,negative
aborigine,negative
abort,negative
abort,negative
abort,negative
aborted,negative
aborticide,negative
abortifacient,negative
abortionist,negative
abortive,negative
aboud,negative
abound,positive
about-face,negative
about,negative
above,positive
above,positive
aboveboard,positive
aboveground,positive
aboveground,negative
abr,negative
abr,positive
abradant,negative
abrade,negative
abrader,negative
abramson,positive
abranchial,negative
abranchiate,negative
abranchious,negative
abrase,negative
abrasion,negative
abrasive,negative
abrasive,negative
abrasive,negative
abrasiveness,negative
abraxane,positive
abreaction,positive
abreu,positive
abreviated,negative
abridge,negative
abridged,positive
abridgement,negative
abridgment,negative
abril,positive
abrogate,negative
abrogation,negative
abrogator,negative
abrunden,negative
abrupt,negative
abruption,negative
abruptness,negative
absalom,positive
absatz,negative
abscess,negative
abscond,negative
absconding,negative
abseiling,positive
absence,negative
absendung,negative
absent,negative
absent,negative
absentee,negative
absentee,positive
absenteeism,negative
absentminded,negative
absessed,negative
absolut,negative
absolute,positive
absoluteness,negative
absolution,positive
absolutism,negative
absolved,positive
absolvitory,positive
absorbable,positive
absorbance,positive
absorbed,negative
absorbency,positive
absorbent,positive
absorber,negative
absorbing,positive
absorbtion,positive
absorption,positive
absorption,negative
absorptive,positive
abspielen,negative
abspritzenn,negative
absquatulate,negative
abstainer,negative
abstemious,positive
abstention,negative
abstinence,positive
abstinent,negative
abstract,negative
abstract,positive
abstract,negative
abstracted,negative
abstractedness,positive
abstraction,negative
abstractionist,negative
abstractness,positive
abstruse,negative
abstruseness,negative
abstrusity,negative
absurd,negative
absurdity,negative
absurdness,negative
abta,positive
abteilung,negative
abu,negative
abundance,positive
abundance,positive
abundant,positive
abusae,negative
abuse,negative
abuse,negative
abuseand,negative
abused,positive
abuser,negative
abuser,negative
abusing,negative
abusive,negative
abut,positive
abv,positive
aby,positive
abydos,positive
abye,positive
abysm,negative
abysmal,negative
abyss,negative
abyssal,negative
acabq,positive
acadamy,positive
acade,positive
academic,positive
academical,positive
academician,positive
acadian,positive
acadian,positive
acadiana,positive
acai,positive
acai,positive
acantha,positive
acanthoid,negative
acanthous,negative
acanthus,positive
acapnia,negative
acappellas,positive
acarologists,positive
acarpellous,positive
acarpelous,positive
acaudal,negative
acaudate,negative
acaulescent,negative
acc,positive
acca,positive
acca,positive
accc,negative
accede,positive
accelerate,positive
accelerate,positive
accelerated,negative
accelerator,positive
accelerator,negative
accelerometer,positive
accellerate,positive
accent,positive
accented,negative
accenthome,positive
accentuate,positive
accept,positive
accept,positive
acceptability,positive
acceptable,positive
acceptableness,positive
acceptance,positive
acceptant,negative
acceptation,positive
accepted,positive
acceptive,negative
acceptor,positive
access,positive
accessary,positive
accessary,positive
accessibility,positive
accessible,positive
accessiblity,negative
accessing,negative
accessing,negative
accession,positive
accessor,positive
accessory,positive
accessorybedroom,positive
accho,positive
accident,negative
accidental,negative
accis,positive
acclaim,positive
acclaim,positive
acclaimation,positive
acclaimed,positive
acclaimed,positive
acclamation,positive
acclinet,positive
acclivitous,negative
acclivity,positive
accolade,positive
accom,positive
accomadation,positive
accommodate,positive
accommodating,negative
accommodation,positive
accommodative,negative
accomodate,positive
accomodated,positive
accomodation,positive
accomodation,positive
accomodations,positive
accompanied,positive
accompaniment,positive
accompany,positive
accompanying,positive
accompli,negative
accomplice,positive
accomplish,positive
accomplishable,positive
accomplished,positive
accomplishment,positive
acconut,positive
accord,positive
accord,positive
accord,positive
accordance,positive
accordant,positive
accorders,positive
accordion,positive
accordionist,positive
accost,negative
accouchement,negative
accoun,negative
accountable,positive
accountable,positive
accountant,negative
accountemps,positive
accouterment,positive
accouting,positive
accoutrement,positive
accpac,positive
accra,negative
accredit,positive
accreditation,positive
accredited,positive
accreditied,positive
accrete,negative
accretion,positive
accross,positive
accrual,positive
accrual,negative
accrue,positive
accruement,positive
accu,positive
acculturation,positive
accumbent,positive
accumulate,negative
accumulation,positive
accumulative,negative
accumulator,positive
accuracy,positive
accuracy,positive
accurate,positive
accurate,positive
accursed,negative
accusal,negative
accusation,negative
accusative,positive
accusatorial,positive
accusatory,positive
accuse,negative
accuse,negative
accused,negative
accused,negative
accuser,negative
accusing,positive
accusive,positive
accustom,negative
accustom,positive
accustomed,positive
accustomedness,negative
accustoming,negative
accuweather,positive
acdsee,positive
ace,positive
ace,negative
ace,negative
acedia,negative
acehnese,negative
acehnese,negative
acellular,negative
acer,positive
acerb,negative
acerbate,negative
acerbic,negative
acerbity,negative
acetaminophen,negative
acetate,negative
acetify,negative
acetone,negative
acg,positive
ach,positive
ache,negative
ache,negative
ache,negative
acheive,positive
achievability,positive
achievable,positive
achieve,positive
achieve,positive
achievement,positive
achiever,positive
achieving,negative
achievment,positive
achilles,negative
achilles,positive
aching,negative
aching,negative
aching,negative
achivement,positive
achlamydeous,negative
achmed,negative
achondritic,positive
achromasia,positive
achromatic,negative
achromaticity,negative
achromatinic,negative
achromatism,negative
achromycin,negative
achter,negative
achtergelaten,negative
achy,negative
achyranthes,negative
aci,positive
aci,positive
acid-loving,positive
acid,negative
acid,negative
acidic,negative
acidification,positive
acidify,negative
acidity,positive
acidophilus,positive
acidosis,negative
acidulate,negative
acidulent,negative
acidulous,negative
acidulousness,negative
aciphex,negative
ack-ack,negative
ack,negative
ack,negative
ackerman,positive
ackermann,positive
acknoweldgement,positive
acknowledge,positive
acknowledged,negative
acknowledgement,positive
acknowledgement,positive
acks,negative
acl,negative
aclu,negative
acm,positive
acme,positive
acme,negative
acmi,positive
acn,positive
acne,negative
acnova,positive
aconcagua,negative
acoustic,positive
acoustic,positive
acoustical,positive
acoustical,negative
acp,positive
acp,positive
acpi,positive
acquaint,positive
acquaintance,positive
acquaintance,positive
acquaintanceship,positive
acquiesce,negative
acquiescence,positive
acquirement,positive
acquirer,positive
acquiring,negative
acquis,positive
acquisition,positive
acquisitive,negative
acquit,positive
acquittal,positive
acquittance,negative
acrc,positive
acre,positive
acreage,positive
acrid,negative
acrimony,negative
acrobatic,positive
acrobatic,positive
acrobatics,negative
acrocarp,positive
acrocarpous,positive
acroma,positive
acronis,positive
acropetal,positive
acropolis,negative
acroscopic,positive
across-the-board,positive
acrs,negative
acrylamide,negative
acrylate,positive
acrylic,positive
acrylic,negative
actable,negative
acte,negative
acte,negative
actes,negative
acth,negative
actiivities,positive
actinal,positive
acting,positive
actinomorphic,positive
actinomorphous,positive
actinomyces,negative
actinophylla,negative
action,positive
actionable,positive
actionextra,negative
actionscript,positive
actionscript,positive
actionservlet,negative
actionstool,positive
actium,negative
activaeon,positive
activate,positive
activated,negative
activating,negative
activation,negative
activator,positive
active,positive
active,positive
active,positive
activeness,positive
activeroles,positive
activescan,negative
activewear,negative
activex,negative
activision,positive
activism,negative
activist,negative
activites,negative
activitiy,negative
actor,positive
actress,negative
actual,positive
actual,positive
actualisation,positive
actualise,positive
actuality,positive
actualize,negative
actualize,positive
actuarial,positive
actuarial,negative
actuary,negative
actuate,positive
actuation,negative
actuation,positive
actuator,negative
actuator,negative
acu,positive
acuate,negative
acuity,positive
aculaser,positive
acumen,positive
acumen,positive
acupressure,positive
acura,positive
acurate,positive
acurian,negative
acutance,positive
acute,negative
acute,negative
acuteness,negative
acws,negative
acyclic,negative
acyclic,positive
acyclovir,negative
acyclovir,negative
acyl,negative
ad-lib,positive
ada,positive
ada,negative
adage,positive
adalimumab,positive
adam,positive
adamant,negative
adamant,negative
adamantane,negative
adamantine,negative
adamson,positive
adapative,positive
adaptability,positive
adaptable,positive
adaptation,positive
adaptation,positive
adaptative,positive
adapted,positive
adapting,negative
adaption,positive
adaptive,positive
adaptogenic,positive
adaxial,negative
adb,positive
add-on,positive
add,negative
add,negative
added,positive
added,positive
addendum,negative
addendum,negative
adderall,negative
addict,negative
addict,positive
addict,negative
addicted,positive
addicting,positive
addiction,negative
addictive,positive
addin,positive
addison,positive
additional,negative
additive,positive
additive,positive
additive,positive
addle-head,positive
addle,positive
addled,negative
addlehead,positive
addo,positive
addport,positive
address,positive
address,positive
addressbook,positive
addressed,negative
addressee,negative
adduce,positive
adducent,negative
adduct,positive
adducting,negative
adductive,negative
addy,negative
adec,positive
adel,negative
adenine,negative
adenine,negative
adenoid,negative
adenoidal,negative
adenoma,negative
adenomatous,negative
adenomyosis,negative
adenosine,negative
adenovirus,positive
adept,positive
adept,positive
adeptia,positive
adeptness,positive
adequacy,positive
adequate,positive
adequate,positive
adequateness,positive
adermin,negative
adhd,negative
adherence,positive
adherent,positive
adherent,positive
adhesion,positive
adhesive,positive
adhesive,positive
adhesive,negative
adhesiveness,positive
adiabatic,negative
adicts,negative
adidas,positive
adidas,positive
adience,negative
adient,negative
adieu,positive
adifferent,negative
adios,positive
adipex,negative
adipex,positive
adipogenic,positive
adipose,negative
adiposeness,negative
adiposis,positive
adiposity,negative
adirondack,positive
adirondack,positive
adisk,negative
adjacency,negative
adjacency,positive
adjacent,negative
adjectival,negative
adjective,negative
adjoin,positive
adjoining,positive
adjournment,negative
adjudge,positive
adjudicate,positive
adjudication,negative
adjunct,positive
adjunct,positive
adjunction,positive
adjure,negative
adjust,positive
adjustable,positive
adjustable,positive
adjusting,positive
adjustment,positive
adjutant,negative
adjuvant,positive
adknowledge,negative
adl,positive
adm,negative
adman,positive
administered,negative
administrasie,negative
administrate,positive
adminitration,positive
adminrest,positive
admins,negative
adminstration,negative
admirable,positive
admiral,positive
admiration,positive
admire,positive
admirer,positive
admiring,negative
admissibility,positive
admissibility,positive
admissible,positive
admission,positive
admit,positive
admittance,positive
admitting,positive
admonish,negative
admonishment,positive
admonition,positive
adms,negative
adnam,positive
adnate,negative
ado,positive
adobe,positive
adodb,negative
adolescence,negative
adolescent,positive
adolf,negative
adolphs,positive
adopt,negative
adoptable,negative
adopted,negative
adoptive,positive
adora,positive
adorable,positive
adore,negative
adore,positive
adoring,positive
adoring,negative
adorn,positive
adorned,negative
adorning,positive
adornment,positive
adr,positive
adrants,negative
adrenal,negative
adrenalin,positive
adrenaline,positive
adrenaline,positive
adrenaline,positive
adrenergic,negative
adrenocorticotrophin,negative
adrenocorticotropin,negative
adress,negative
adresse,negative
adressen,negative
adrian,positive
adriatic,positive
adriatic,negative
adrienne,positive
adrift,negative
adrift,negative
adrift,negative
adroit,negative
adroitness,positive
adscript,negative
adscripted,negative
adsense,positive
adsl,negative
adsorbable,negative
adsorbate,negative
adsorbent,negative
adsorption,negative
adsorptive,negative
adt,positive
adu,positive
adulation,positive
adult,positive
adult,positive
adultchatn,negative
adulterant,positive
adulterate,positive
adulterate,positive
adulterating,positive
adulteration,negative
adulteress,negative
adulterous,negative
adultery,negative
adulthood,positive
adumbrate,positive
adumbration,positive
adv,positive
advaced,positive
advan,positive
advance,positive
advance,positive
advance,positive
advancement,positive
advancing,negative
advansys,positive
advantage,positive
advantageous,positive
advantageousness,positive
advection,negative
advent,positive
advent,positive
adventure,positive
adventure,negative
adventurer,negative
adventuresome,positive
adventurous,positive
adverb,positive
adversarial,negative
adversary,negative
adverse,negative
adverse,negative
adversity,negative
adversity,negative
advert,negative
advert,positive
advert,positive
advertent,positive
advertenties,negative
advertise,positive
advertise,positive
advertised,positive
advertisement,negative
advertiser,positive
advertisments,negative
advertize,negative
advertizer,positive
advertorial,positive
advfn,positive
advice,positive
advisability,positive
advisable,positive
advised,negative
advisement,negative
adviser,positive
advisor,positive
advisory,positive
advisory,positive
advocacy,positive
advocate,positive
advocate,positive
advocate,positive
advocator,positive
advs,positive
adware,negative
adware,negative
adword,positive
adwords,positive
adynamic,negative
adzhar,negative
aec,negative
aegis,positive
aegis,positive
aelfy,positive
aem,positive
aengus,negative
aenon,positive
aeon,positive
aeonian,negative
aep,negative
aer,positive
aerate,negative
aerated,negative
aeration,positive
aeration,positive
aerial,positive
aeriform,positive
aerify,negative
aero,negative
aerobatics,negative
aerobics,positive
aerodynamic,positive
aerodynamics,positive
aerodynamics,positive
aeroembolism,negative
aeroflot,positive
aerofoil,positive
aeromechanics,positive
aeromodelling,positive
aeron,positive
aeronautic,positive
aeronautical,positive
aerophilic,positive
aerophilous,positive
aerosmith,negative
aerosmith,negative
aerosoles,positive
aerosolised,negative
aerosolized,negative
aerospace,positive
aerospace,positive
aery,positive
aes,positive
aesculapian,negative
aesthesia,positive
aesthesis,positive
aesthetical,positive
aestivate,negative
aether,negative
aetna,positive
aeuserungen,negative
afa,positive
afar,negative
afar,positive
afebrile,positive
affaire,positive
affe,negative
affect,negative
affect,negative
affectation,negative
affected,negative
affected,positive
affectedness,negative
affectees,positive
affecting,positive
affecting,negative
affection,positive
affection,negative
affectionate,positive
affectionateness,positive
afferent,positive
affidavit,positive
affiliate,positive
affiliate,positive
affiliated,positive
affiliation,positive
affinia,positive
affinia,negative
affinity,positive
affinity,positive
affirm,positive
affirmation,positive
affirmation,positive
affirmative,positive
affirmatory,positive
affix,positive
affix,positive
affix,positive
affixation,positive
affixed,negative
afflict,negative
afflicted,negative
affliction,negative
affligem,negative
affluence,positive
affluent,positive
affluent,negative
afford,positive
afford,positive
affordability,positive
affordability,positive
affordable,positive
affording,positive
afforestation,negative
affranchise,positive
affray,negative
affray,negative
affright,negative
affright,negative
affront,negative
affymetrix,positive
afg,positive
afgespeeld,negative
afghan,positive
afghani,positive
afghani,positive
afghanistan,negative
afghanistani,positive
afhankelijk,negative
aficionado,positive
afire,negative
afl,positive
aflame,negative
aflare,negative
afloat,negative
aflpa,positive
aflutter,negative
aforementioned,negative
aforesaid,negative
aforesaid,negative
aforethought,negative
aforetime,positive
afoul,negative
afp,negative
afraid,negative
africa,positive
africa,positive
african,positive
africon,positive
afrika,negative
afrikaans,negative
afrikaans,negative
afrikaner,negative
afrikas,negative
afro,positive
afrocentric,negative
afsc,positive
afstande,negative
afstandsbediening,negative
aft,positive
aft,negative
after,negative
after,negative
aftereffect,negative
afterglow,positive
afterimage,negative
aftermarket,positive
aftermath,negative
aftermath,negative
afternoon,positive
afters,positive
aftersales,positive
aftersensation,negative
aftershock,negative
aftertaste,negative
afv,positive
ag,positive
agadir,positive
again,negative
against,negative
againts,negative
agamen,negative
agape,negative
agape,positive
agarose,positive
agate,positive
agatha,negative
agatston,positive
agaze,negative
agbn,negative
agbs,negative
agca,negative
agcenter,positive
agd,positive
age-old,negative
aged,negative
agedness,positive
ageing,negative
ageism,negative
agel,positive
ageless,positive
agelessly,positive
agence,positive
agentur,negative
agentwebranking,positive
agfa,negative
agglomerate,positive
agglomeration,positive
agglutinate,positive
agglutinative,positive
aggrade,positive
aggrandise,positive
aggrandisement,positive
aggrandize,positive
aggrandizement,positive
aggravate,negative
aggravated,negative
aggravating,negative
aggravation,negative
aggravator,negative
aggregate,positive
aggregate,positive
aggregate,negative
aggregate,positive
aggregated,positive
aggregation,positive
aggregative,positive
aggresive,positive
aggress,negative
aggression,negative
aggression,negative
aggressive,negative
aggressiveness,negative
aggressor,negative
aggrevation,negative
aghast,negative
aghorizons,positive
agile,positive
agile,negative
agility,positive
agility,positive
agincourt,positive
aging,negative
agio,positive
agiotage,positive
agism,negative
agitate,negative
agitated,negative
agitating,negative
agitation,negative
agitative,negative
agleam,positive
aglitter,positive
aglow,positive
agnise,positive
agnize,positive
agnostic,positive
agnostic,negative
agnostical,positive
agnosticism,negative
agonising,negative
agonist,positive
agonistic,negative
agonistical,negative
agonizing,negative
agony,negative
agoraphobia,negative
agosto,negative
agrarbereich,negative
agree,positive
agreeable,positive
agreeableness,negative
agreed,positive
agreed,negative
agreed,positive
agreement,positive
agression,negative
agrestic,positive
agribusiness,positive
agriculturalist,positive
agriculturist,positive
agrimony,negative
agripino,negative
agrochemicals,negative
aground,positive
agrp,negative
agu,positive
agua,positive
aguacate,positive
ague,negative
aguri,positive
agy,positive
ah,positive
ahab,negative
ahadada,positive
ahead,positive
ahead,negative
ahead,negative
ahepa,positive
ahistorical,negative
ahmad,positive
ahmadinejad,negative
ahmadinejads,negative
ahmadiyya,negative
ahmed,negative
ahnen,negative
ahnt,negative
ahs,negative
ahvaz,negative
aia,positive
aid,positive
aid,positive
aida,positive
aide-de-camp,negative
aide,positive
aided,positive
aiding,negative
aidoneus,negative
aifrs,positive
aig,positive
aiken,positive
aikido,negative
ail,negative
ail,negative
aileen,negative
aileron,negative
ailing,negative
ailment,negative
ailment,negative
aimless,negative
aimlessness,negative
ain,negative
ainsworth,positive
aiolos,positive
aip,positive
aiphone,positive
aips,positive
aips,negative
air-sleeve,negative
air,negative
air,negative
airbag,negative
airbase,negative
airboat,positive
airborne,negative
airbrush,positive
airbrush,positive
airbrushed,positive
airbus,negative
aircon,positive
aire,positive
aired,positive
aireo,positive
airfax,positive
airflow,positive
airflow,negative
airfoil,positive
airframe,positive
airgun,negative
airheaded,negative
airless,negative
airlfted,negative
airlie,positive
airlift,positive
airlift,negative
airlike,positive
airliner,negative
airlock,negative
airmail,negative
airman,positive
airman,positive
airmanship,negative
airmasses,negative
aironet,negative
airparks,positive
airplane,positive
airplay,positive
airpost,negative
airship,negative
airshow,positive
airsoft,negative
airspace,negative
airspeed,positive
airstrike,negative
airstrikes,negative
airstrikes,negative
airstrip,negative
airt,negative
airtime,negative
airtours,positive
airwave,negative
airway,negative
airway,positive
airworthiness,positive
airworthy,negative
aishwarya,negative
aisle,positive
aisle,positive
ait,positive
aithentic,positive
aitken,positive
aitl,positive
aiu,positive
aiwars,positive
aixin,positive
ajc,positive
ajinomoto,positive
akademischen,negative
akademischer,positive
akaku,negative
akasha,positive
akc,positive
akc,positive
akehurst,positive
akg,positive
akhaians,negative
akhenaten,positive
akhmadov,negative
akhmed,negative
akka,positive
akko,positive
akma,negative
akode,negative
akon,negative
akon,negative
akoya,positive
aksenenko,negative
aktion,negative
aktualisierung,negative
aktuallisiert,negative
aktuell,negative
aktuellen,negative
aktuellen,negative
aktuelles,negative
aktuellste,negative
aku,negative
aku,positive
akzent,positive
akzeptieren,negative
akzeptiert,negative
al-qaeda,positive
al-qaida,positive
al,negative
ala,negative
ala,positive
alabaster,positive
alabastrite,positive
alacrity,positive
alan,negative
alanis,positive
alanya,positive
alara,positive
alaric,negative
alarm,negative
alarm,positive
alarming,negative
alarmist,negative
alarum,positive
alaskan,positive
alassane,negative
alayande,negative
alba,positive
albania,negative
albanian,negative
albanian,negative
albar,positive
albatross,negative
albee,negative
albertans,positive
alberto,negative
albicans,negative
albion,positive
album,positive
albumen,positive
albumin,negative
albuminuria,negative
albuquerque,positive
albuterol,positive
alcala,positive
alcatel,negative
alchemic,negative
alchemical,negative
alchemy,negative
alcian,negative
alco,positive
